anon_donor_id,zip,status,do_not_mail,do_not_call,organisation,date,amount,form,campaign,target
538,19003,Active,FALSE,FALSE,N,04/30/2019,50,Check,Sprg Evt,Gift
862,19072,Active,FALSE,FALSE,N,04/30/2019,250,Check,Sprg Evt,Gift
92,19003,Active,FALSE,FALSE,N,04/30/2019,40,Check,Clients,Gift
941,19096,Active,FALSE,FALSE,N,04/30/2019,75,Check,Sprg Evt,Gift
942,19066,Active,FALSE,FALSE,N,05/01/2019,75,Check,Sprg Evt,Gift
60,19446,Active,FALSE,FALSE,N,05/01/2019,40,Check,Sprg Evt,Gift
839,19066,Active,FALSE,FALSE,N,05/02/2019,10,Check,Fall Towns,Gift
396,19010,Active,FALSE,FALSE,N,05/02/2019,2500,Check,Sprg Evt,Gift
793,NA,Active,FALSE,FALSE,N,05/02/2019,220,Check,Sprg Evt,Gift
180,19066,Active,FALSE,FALSE,N,05/03/2019,25,Check,Misc,Gift
454,19004,Active,FALSE,FALSE,N,05/03/2019,2300,Check,Misc,Gift
467,19010,Active,FALSE,FALSE,N,05/03/2019,3000,Check,Church,Gift
438,19085,Active,FALSE,FALSE,N,05/03/2019,50,Check,Misc,Gift
135,19003,Active,FALSE,FALSE,Y,05/03/2019,228.2,Check,Escort Dri,Gift
31,19426,Active,FALSE,FALSE,N,05/04/2019,100,Check,Sprg Evt,Gift
549,19083,Active,FALSE,FALSE,N,05/05/2019,50,Check,Fall Towns,Gift
679,19010,Active,FALSE,FALSE,N,05/05/2019,66,Check,Sprg Evt,Gift
729,19072,Active,FALSE,FALSE,N,05/05/2019,85,Check,Sprg Evt,Gift
51,19003,Active,FALSE,FALSE,N,05/05/2019,75,Check,Sprg Evt,Gift
51,19003,Active,FALSE,FALSE,N,05/05/2019,50,Check,Sprg Evt,Gift
793,NA,Active,FALSE,FALSE,N,05/05/2019,35,Check,Sprg Evt,Gift
793,NA,Active,FALSE,FALSE,N,05/05/2019,45,Check,Sprg Evt,Gift
793,NA,Active,FALSE,FALSE,N,05/05/2019,611,Check,Sprg Evt,Gift
264,19072,Active,FALSE,FALSE,N,05/05/2019,233,Check,Sprg Evt,Gift
113,19066,Active,FALSE,FALSE,N,05/05/2019,194,Check,Sprg Evt,Gift
96,19003,Active,FALSE,FALSE,N,05/05/2019,570,Check,Sprg Evt,Gift
653,19066,Active,FALSE,FALSE,N,05/05/2019,655,Check,Sprg Evt,Gift
94,19010,Active,FALSE,FALSE,N,05/05/2019,95,Check,Sprg Evt,Gift
547,19066,Active,FALSE,FALSE,N,05/05/2019,110,Check,Sprg Evt,Gift
982,19004,Active,FALSE,FALSE,N,05/05/2019,35,Check,Sprg Evt,Gift
712,19064,Active,FALSE,FALSE,N,05/05/2019,170,Check,Sprg Evt,Gift
567,19010,Active,FALSE,FALSE,N,05/05/2019,97,Check,Sprg Evt,Gift
401,19003,Active,FALSE,FALSE,N,05/05/2019,115,Check,Sprg Evt,Gift
689,19004,Active,FALSE,FALSE,N,05/05/2019,515,Check,Sprg Evt,Gift
796,19010,Active,FALSE,FALSE,N,05/05/2019,100,Check,Sprg Evt,Gift
913,19004,Active,FALSE,FALSE,N,05/05/2019,21,Check,Sprg Evt,Gift
913,19004,Active,FALSE,FALSE,N,05/05/2019,15,Check,Sprg Evt,Gift
645,19096,Active,FALSE,FALSE,N,05/05/2019,100,Check,Mem-hon,Gift
154,19003,Active,FALSE,FALSE,N,05/05/2019,85,Check,Sprg Evt,Gift
413,19010,Active,FALSE,FALSE,N,05/05/2019,130,Check,Sprg Evt,Gift
205,19004,Active,FALSE,FALSE,N,05/05/2019,35,Check,Sprg Evt,Gift
398,19344,Active,FALSE,FALSE,N,05/05/2019,310,Check,Sprg Evt,Gift
619,19041,Active,FALSE,FALSE,N,05/05/2019,130,Check,Sprg Evt,Gift
835,19072,Active,FALSE,FALSE,N,05/05/2019,165,Check,Sprg Evt,Gift
743,NA,Active,FALSE,FALSE,Y,05/06/2019,2,Check,Fall Towns,Gift
743,NA,Active,FALSE,FALSE,Y,05/06/2019,2,Check,Fall Towns,Gift
825,19096,Active,FALSE,FALSE,N,05/07/2019,25,Check,Sprg Evt,Gift
268,19010,Active,FALSE,FALSE,N,05/07/2019,100,Check,Sprg Evt,Gift
509,19004,Active,FALSE,FALSE,N,05/07/2019,35,Check,Fall Towns,Gift
385,NA,Active,FALSE,FALSE,N,05/07/2019,120,Check,Sprg Evt,Gift
466,19041,Active,FALSE,FALSE,N,05/08/2019,50,Check,Sprg Evt,Gift
1004,19003,Active,FALSE,FALSE,N,05/09/2019,2000,Check,Foundation,Gift
351,19041,Active,FALSE,FALSE,N,05/09/2019,25,Check,CAC,Gift
49,19003,Active,FALSE,FALSE,N,05/09/2019,90,Check,Sprg Evt,Gift
779,19010,Active,FALSE,FALSE,N,05/10/2019,630,Check,Emerg fund,Gift
576,19096,Active,FALSE,FALSE,N,05/10/2019,25,Check,Emerg fund,Gift
576,19096,Active,FALSE,FALSE,N,05/10/2019,30,Check,Sprg Evt,Gift
1048,19041,Active,FALSE,FALSE,N,05/13/2019,504.39,Check,Fall Towns,Gift
793,NA,Active,FALSE,FALSE,N,05/13/2019,40,Check,Sprg Evt,Gift
759,19096,Active,FALSE,FALSE,N,05/15/2019,180,Check,Sprg Evt,Gift
327,19041,Active,FALSE,FALSE,N,05/15/2019,175,Check,Sprg Evt,Gift
619,19041,Active,FALSE,FALSE,N,05/15/2019,20,Check,Sprg Evt,Gift
390,19066,Active,FALSE,FALSE,N,05/17/2019,100,Check,Fall Towns,Gift
910,19010,Active,FALSE,FALSE,N,05/19/2019,100,Check,Fall Towns,Gift
119,19041,Active,FALSE,FALSE,N,05/20/2019,1000,Check,Board,Gift
783,19041,Active,FALSE,FALSE,N,05/20/2019,696,Check,Sprg Evt,Gift
434,19004,Active,FALSE,FALSE,N,05/20/2019,10,Check,Sprg Evt,Gift
355,19041,Active,FALSE,FALSE,N,05/20/2019,75,Check,Sprg Evt,Gift
746,19072,Active,FALSE,FALSE,N,05/21/2019,20,Check,Fall Towns,Gift
516,NA,Active,FALSE,FALSE,N,05/22/2019,1000,Check,Sprg Evt,Gift
920,19010,Active,FALSE,FALSE,N,05/22/2019,7500,Check,Church,Gift
92,19003,Active,FALSE,FALSE,N,05/22/2019,40,Check,Clients,Gift
719,19035,Active,FALSE,FALSE,N,05/22/2019,4500,Check,Church,Gift
135,19003,Active,FALSE,FALSE,Y,05/24/2019,220.9,Check,Escort Dri,Gift
1000,19010,Active,FALSE,FALSE,N,05/29/2019,500,Check,Emerg fund,Gift
533,19072,Active,FALSE,FALSE,N,05/31/2019,50,Check,Fall Towns,Gift
600,19041,Active,FALSE,FALSE,N,06/03/2019,36,Check,Emerg fund,Gift
743,NA,Active,FALSE,FALSE,Y,06/03/2019,4,Check,Fall Towns,Gift
752,19428,Active,FALSE,FALSE,N,06/06/2019,20000,Check,Foundation,Gift
992,19104,Active,FALSE,FALSE,N,06/06/2019,250,Check,Sprg Evt,Gift
793,NA,Active,FALSE,FALSE,N,06/07/2019,40,Check,Sprg Evt,Gift
828,19096,Active,FALSE,FALSE,N,06/08/2019,125,Check,Church,Gift
